"books_sold","weeks_best_seller","n_books_published","genre","page_numbers","publication_year"
1509,2,5,"Mystery",371,15
1914,4,5,"Mystery",267,8
1596,4,0,"Mystery",402,12
2055,7,3,"Science Fiction",331,6
1798,5,4,"Science Fiction",389,10
1969,5,2,"Science Fiction",378,8
1779,6,1,"Science Fiction",408,10
1901,7,2,"Romance",284,8
1945,5,2,"Mystery",363,6
1967,5,4,"Romance",421,7
1387,4,3,"Romance",156,17
1628,3,5,"Science Fiction",429,12
1777,4,2,"Science Fiction",238,8
1923,6,4,"Romance",431,9
1874,6,5,"Mystery",365,7
2128,7,3,"Mystery",341,7
1841,6,1,"Science Fiction",274,10
1624,4,2,"Mystery",347,11
1741,5,1,"Science Fiction",440,9
2124,6,5,"Romance",282,5
1887,6,2,"Science Fiction",340,9
1540,3,1,"Science Fiction",440,14
1555,4,4,"Science Fiction",195,13
1498,4,4,"Mystery",409,15
1985,5,3,"Science Fiction",301,7
1403,3,2,"Science Fiction",204,17
1497,3,6,"Mystery",412,12
1790,6,1,"Science Fiction",430,8
1843,6,8,"Romance",362,8
2068,7,4,"Mystery",366,6
1499,4,4,"Science Fiction",142,13
1752,4,5,"Romance",330,10
1660,6,2,"Science Fiction",218,10
1345,7,5,"Mystery",619,17
1758,4,3,"Science Fiction",356,11
1171,0,2,"Science Fiction",468,27
1744,5,2,"Science Fiction",461,10
1621,3,5,"Science Fiction",342,12
1586,5,3,"Romance",189,11
1774,5,3,"Romance",448,10
1390,1,6,"Science Fiction",313,18
1542,3,5,"Mystery",388,13
1749,3,7,"Romance",360,11
2083,6,0,"Science Fiction",392,7
1648,2,4,"Science Fiction",305,12
1410,2,2,"Mystery",465,17
1328,4,1,"Mystery",498,19
1791,4,5,"Mystery",373,7
1780,5,3,"Mystery",364,10
1495,3,3,"Romance",440,13
1864,4,5,"Science Fiction",378,9
2017,6,3,"Mystery",387,7
1564,6,2,"Mystery",154,13
1118,5,2,"Mystery",596,29
2211,7,4,"Science Fiction",390,6
1782,5,5,"Science Fiction",386,9
1773,7,5,"Science Fiction",188,9
1389,4,1,"Mystery",177,18
1905,4,1,"Romance",405,9
1568,7,3,"Science Fiction",582,13
1691,3,0,"Mystery",344,8
1518,2,2,"Science Fiction",452,12
1429,4,5,"Science Fiction",545,16
1299,4,3,"Science Fiction",129,19
1491,3,2,"Mystery",334,15
1626,4,4,"Science Fiction",449,12
1525,5,3,"Romance",233,13
1850,6,3,"Science Fiction",321,10
1924,5,3,"Science Fiction",302,6
1661,4,1,"Mystery",272,11
1870,6,4,"Science Fiction",452,8
1796,6,1,"Mystery",415,9
2022,6,4,"Romance",345,6
1765,5,0,"Mystery",378,7
1566,2,7,"Science Fiction",383,15
1637,4,3,"Science Fiction",286,11
1620,3,4,"Mystery",350,13
1801,6,1,"Romance",232,9
1671,4,1,"Mystery",417,11
1954,5,5,"Science Fiction",315,6
1604,4,2,"Science Fiction",272,10
1717,5,2,"Science Fiction",230,10
1698,6,2,"Science Fiction",434,10
1649,2,0,"Mystery",390,12
1457,4,5,"Science Fiction",505,15
1557,4,2,"Mystery",209,13
1959,6,4,"Science Fiction",364,9
1759,4,7,"Romance",353,9
1496,4,2,"Mystery",380,15
1278,3,3,"Science Fiction",490,22
1859,5,5,"Science Fiction",330,10
2001,6,3,"Science Fiction",416,8
1705,4,2,"Romance",217,10
1437,4,4,"Science Fiction",204,16
1621,4,2,"Mystery",244,11
1514,3,4,"Science Fiction",340,13
1717,6,2,"Science Fiction",208,10
1591,3,2,"Science Fiction",429,12
1666,5,1,"Science Fiction",322,11
1805,4,3,"Science Fiction",310,10
2228,8,4,"Science Fiction",424,5
1621,3,4,"Mystery",407,12
1535,3,1,"Science Fiction",342,12
