"participant","minutes","n_previous_marathons","age","gender","hills","weather"
366,242,9,35,"Male",10,"Cloudy"
36,320,7,14,"Female",14,"Sunny"
211,314,7,34,"Male",11,"Cloudy"
230,207,11,29,"Male",5,"Sunny"
280,355,8,35,"Female",13,"Cloudy"
37,311,9,21,"Male",11,"Sunny"
277,378,12,42,"Female",9,"Sunny"
521,289,6,23,"Male",10,"Sunny"
423,309,7,41,"Male",10,"Cloudy"
433,310,6,16,"Female",16,"Sunny"
453,429,5,40,"Female",12,"Sunny"
80,398,4,17,"Female",11,"Light Rain"
256,261,9,20,"Female",14,"Cloudy"
600,357,3,37,"Male",7,"Sunny"
380,257,12,28,"Male",6,"Cloudy"
173,230,10,22,"Female",11,"Cloudy"
257,392,4,34,"Male",9,"Cloudy"
43,410,6,52,"Female",6,"Cloudy"
115,259,8,31,"Male",9,"Cloudy"
559,448,7,36,"Female",13,"Cloudy"
179,312,10,39,"Male",8,"Cloudy"
165,293,6,24,"Female",9,"Cloudy"
350,328,8,45,"Male",10,"Sunny"
235,443,5,54,"Other",5,"Cloudy"
260,227,10,29,"Male",15,"Light Rain"
586,468,4,40,"Female",11,"Sunny"
28,291,7,41,"Male",12,"Cloudy"
499,238,8,37,"Male",8,"Light Rain"
282,342,4,34,"Male",11,"Sunny"
175,258,8,33,"Male",4,"Light Rain"
302,390,2,35,"Female",13,"Sunny"
432,318,7,44,"Male",7,"Sunny"
553,323,7,45,"Female",7,"Sunny"
174,216,9,33,"Female",14,"Cloudy"
421,369,7,25,"Female",10,"Cloudy"
273,258,3,27,"Male",5,"Light Rain"
392,415,5,47,"Female",14,"Sunny"
551,387,6,41,"Male",6,"Sunny"
184,309,5,36,"Female",12,"Light Rain"
588,241,8,29,"Male",7,"Sunny"
347,210,13,27,"Female",8,"Cloudy"
508,394,7,57,"Male",9,"Cloudy"
599,272,10,39,"Male",12,"Sunny"
481,434,5,43,"Female",12,"Light Rain"
157,424,7,46,"Female",13,"Cloudy"
240,258,9,33,"Male",9,"Sunny"
482,295,9,44,"Male",11,"Sunny"
369,396,6,41,"Male",8,"Sunny"
195,252,11,26,"Female",9,"Cloudy"
480,384,8,32,"Female",7,"Cloudy"
13,220,8,18,"Male",12,"Sunny"
249,299,12,59,"Female",8,"Cloudy"
197,282,6,37,"Female",4,"Sunny"
513,271,10,34,"Female",6,"Cloudy"
333,324,9,40,"Female",10,"Cloudy"
10,362,7,55,"Female",8,"Sunny"
221,443,5,45,"Male",7,"Sunny"
409,316,6,37,"Female",10,"Light Rain"
308,283,2,21,"Female",10,"Sunny"
297,361,13,34,"Male",16,"Cloudy"
125,420,6,28,"Female",11,"Light Rain"
39,306,6,44,"Male",11,"Sunny"
48,288,7,29,"Female",12,"Light Rain"
579,391,7,47,"Female",9,"Cloudy"
32,267,11,23,"Female",7,"Sunny"
494,200,8,38,"Female",6,"Cloudy"
471,362,4,18,"Female",16,"Light Rain"
250,215,8,29,"Female",8,"Cloudy"
420,451,2,39,"Female",6,"Cloudy"
570,329,10,52,"Female",12,"Sunny"
469,351,5,32,"Female",7,"Sunny"
580,358,7,34,"Other",7,"Cloudy"
252,324,5,27,"Female",7,"Cloudy"
58,385,9,35,"Female",11,"Light Rain"
341,301,6,27,"Male",15,"Sunny"
77,372,6,25,"Female",14,"Sunny"
472,404,9,31,"Female",12,"Cloudy"
63,383,6,38,"Female",10,"Sunny"
68,206,9,26,"Male",9,"Sunny"
486,408,4,29,"Female",11,"Sunny"
388,335,5,40,"Male",9,"Light Rain"
353,246,7,41,"Male",10,"Cloudy"
430,292,10,45,"Female",8,"Sunny"
141,310,6,23,"Female",9,"Cloudy"
74,508,0,43,"Female",12,"Sunny"
531,292,11,46,"Female",6,"Light Rain"
428,305,6,37,"Female",4,"Cloudy"
484,274,8,23,"Female",12,"Sunny"
405,283,6,21,"Female",7,"Light Rain"
219,222,9,25,"Female",11,"Cloudy"
153,291,6,39,"Female",8,"Sunny"
121,392,8,53,"Male",10,"Cloudy"
359,359,6,43,"Female",15,"Sunny"
313,377,8,52,"Female",13,"Sunny"
8,291,10,37,"Female",10,"Cloudy"
496,234,14,43,"Female",9,"Light Rain"
507,279,7,34,"Female",7,"Cloudy"
86,358,6,49,"Male",6,"Light Rain"
427,386,6,41,"Female",17,"Cloudy"
400,213,14,19,"Female",14,"Sunny"
407,302,8,38,"Female",8,"Cloudy"
577,287,6,43,"Male",9,"Sunny"
322,310,5,38,"Male",8,"Cloudy"
18,319,3,22,"Female",12,"Sunny"
95,380,6,29,"Male",7,"Sunny"
158,225,5,30,"Male",5,"Sunny"
348,298,6,32,"Female",4,"Cloudy"
483,445,6,35,"Female",18,"Sunny"
351,310,4,16,"Female",10,"Cloudy"
201,430,5,29,"Female",-999,"Sunny"
557,275,8,20,"Female",8,"Sunny"
299,474,4,47,"Female",10,"Light Rain"
148,419,3,44,"Male",14,"Cloudy"
597,378,7,37,"Female",10,"Sunny"
544,312,5,36,"Male",15,"Sunny"
306,293,7,33,"Male",7,"Cloudy"
464,388,4,18,"Female",13,"Sunny"
419,371,7,39,"Female",14,"Sunny"
27,349,7,34,"Female",8,"Sunny"
332,300,5,16,"Female",12,"Sunny"
524,332,3,43,"Male",8,"Sunny"
251,475,5,43,"Female",19,"Sunny"
296,211,9,23,"Male",11,"Sunny"
225,419,3,46,"Female",9,"Light Rain"
458,331,9,33,"Female",10,"Cloudy"
247,300,6,23,"Male",8,"Cloudy"
284,431,5,40,"Female",9,"Sunny"
349,305,5,42,"Male",10,"Sunny"
222,337,12,34,"Female",12,"Cloudy"
263,249,8,24,"Male",7,"Sunny"
44,322,6,36,"Male",7,"Sunny"
47,280,5,36,"Male",12,"Cloudy"
248,312,12,41,"Female",11,"Cloudy"
92,265,8,13,"Male",14,"Cloudy"
272,391,1,20,"Male",14,"Cloudy"
88,322,10,24,"Female",12,"Sunny"
279,293,3,20,"Male",8,"Cloudy"
594,436,4,53,"Female",10,"Sunny"
575,327,12,50,"Female",8,"Cloudy"
140,388,6,47,"Other",9,"Sunny"
510,373,6,33,"Female",13,"Sunny"
239,282,4,29,"Male",7,"Cloudy"
143,473,2,42,"Female",13,"Cloudy"
538,354,9,27,"Male",14,"Cloudy"
29,334,5,48,"Other",13,"Sunny"
355,352,8,40,"Other",13,"Cloudy"
93,321,6,44,"Female",6,"Sunny"
403,170,11,28,"Male",7,"Cloudy"
212,386,5,37,"Female",12,"Cloudy"
298,277,4,16,"Female",14,"Sunny"
475,329,8,38,"Male",12,"Sunny"
493,467,7,44,"Female",11,"Heavy Rain"
417,257,12,43,"Female",14,"Sunny"
229,374,8,39,"Female",13,"Cloudy"
402,220,4,20,"Male",10,"Sunny"
381,327,7,39,"Male",13,"Cloudy"
199,432,4,39,"Female",14,"Cloudy"
293,485,3,43,"Female",10,"Cloudy"
163,292,8,40,"Other",6,"Cloudy"
552,345,5,34,"Male",14,"Cloudy"
312,273,7,23,"Female",4,"Sunny"
49,322,5,25,"Male",-999,"Cloudy"
595,256,4,40,"Other",9,"Cloudy"
344,264,5,41,"Female",12,"Cloudy"
243,474,4,42,"Female",13,"Heavy Rain"
100,327,7,31,"Female",8,"Cloudy"
459,360,4,15,"Female",7,"Sunny"
102,276,6,23,"Female",12,"Light Rain"
451,393,7,50,"Male",11,"Cloudy"
20,308,12,44,"Female",17,"Light Rain"
562,308,11,36,"Male",17,"Cloudy"
315,382,6,46,"Female",9,"Cloudy"
560,524,2,51,"Female",17,"Cloudy"
408,275,4,26,"Male",9,"Sunny"
526,310,8,29,"Female",12,"Cloudy"
226,414,6,41,"Female",12,"Sunny"
34,403,9,50,"Female",7,"Sunny"
292,455,4,40,"Female",7,"Cloudy"
393,349,8,47,"Male",11,"Light Rain"
285,424,3,25,"Female",14,"Cloudy"
101,325,8,34,"Female",3,"Cloudy"
548,282,10,45,"Female",10,"Light Rain"
542,464,4,62,"Female",11,"Sunny"
161,332,7,44,"Male",10,"Cloudy"
592,423,3,41,"Female",2,"Light Rain"
120,336,6,29,"Female",8,"Sunny"
62,458,4,42,"Other",10,"Light Rain"
108,274,8,43,"Male",11,"Light Rain"
568,287,9,46,"Male",7,"Cloudy"
520,288,9,23,"Female",11,"Cloudy"
485,171,11,22,"Female",5,"Cloudy"
79,309,6,35,"Male",-999,"Cloudy"
220,179,11,33,"Female",7,"Cloudy"
6,439,3,38,"Female",11,"Sunny"
584,363,6,47,"Female",17,"Sunny"
216,285,8,28,"Female",12,"Light Rain"
390,202,5,14,"Male",8,"Light Rain"
387,276,5,33,"Male",7,"Sunny"
124,459,5,48,"Female",16,"Cloudy"
564,316,5,26,"Male",8,"Sunny"
572,230,11,36,"Female",14,"Cloudy"
583,308,10,33,"Male",7,"Cloudy"
398,428,4,34,"Female",11,"Cloudy"
518,255,9,47,"Male",5,"Cloudy"
146,387,5,37,"Male",6,"Light Rain"
422,201,8,18,"Male",7,"Sunny"
118,256,12,39,"Male",-999,"Light Rain"
126,93,13,30,"Female",11,"Sunny"
581,301,10,40,"Female",11,"Sunny"
64,382,5,45,"Male",12,"Sunny"
112,387,6,38,"Female",9,"Cloudy"
426,318,8,38,"Female",6,"Sunny"
444,359,4,42,"Male",8,"Cloudy"
254,365,5,37,"Female",13,"Cloudy"
301,376,9,46,"Male",14,"Sunny"
246,281,8,44,"Other",14,"Light Rain"
180,261,7,33,"Female",7,"Cloudy"
516,458,4,43,"Male",7,"Sunny"
386,277,11,31,"Female",9,"Cloudy"
83,357,6,37,"Female",8,"Sunny"
385,262,7,25,"Male",13,"Sunny"
52,198,6,15,"Male",13,"Cloudy"
238,289,10,39,"Male",13,"Sunny"
205,283,6,20,"Female",10,"Cloudy"
135,385,7,35,"Female",6,"Sunny"
454,423,3,37,"Male",9,"Sunny"
164,377,6,31,"Female",9,"Cloudy"
149,283,5,14,"Male",9,"Light Rain"
555,453,7,58,"Female",15,"Light Rain"
129,406,4,51,"Female",9,"Sunny"
202,124,12,25,"Female",8,"Sunny"
234,302,3,36,"Female",4,"Cloudy"
514,347,6,37,"Male",-999,"Cloudy"
21,287,10,37,"Male",17,"Sunny"
465,360,7,39,"Male",13,"Sunny"
60,339,6,61,"Male",9,"Sunny"
566,356,8,61,"Female",6,"Light Rain"
354,377,4,20,"Female",14,"Sunny"
503,346,5,44,"Female",5,"Cloudy"
330,303,11,56,"Male",11,"Sunny"
573,348,7,24,"Female",14,"Sunny"
218,387,6,38,"Female",12,"Sunny"
565,424,8,33,"Female",15,"Light Rain"
327,103,17,37,"Male",11,"Sunny"
12,418,7,43,"Female",6,"Sunny"
137,346,9,42,"Female",12,"Cloudy"
343,284,7,37,"Female",13,"Cloudy"
307,410,4,28,"Female",9,"Cloudy"
106,240,10,18,"Female",7,"Sunny"
342,379,4,38,"Female",12,"Cloudy"
541,273,9,27,"Male",8,"Heavy Rain"
305,327,8,43,"Male",11,"Sunny"
